SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
6286,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6287,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6288,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC LAS FLORES,55764,20,22,82,TECAMAC
6289,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC LAS FLORES,55764,20,22,82,TECAMAC
6291,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VI,55764,20,22,82,TECAMAC
6291,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VII,55764,20,22,82,TECAMAC
6292,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6292,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VII,55764,20,22,82,TECAMAC
6293,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6294,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6295,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6296,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6297,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6298,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6298,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECCION 6,55765,20,22,82,TECAMAC
6299,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6300,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6301,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6302,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6303,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6304,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6305,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6306,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6307,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
