SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
4227,URBANO(A),COLONIA,VILLA DEL REAL 2DA SECC,55760,5,33,82,TECAMAC
4229,URBANO(A),COLONIA,ATLAUTENCO,55760,5,33,82,TECAMAC
4229,URBANO(A),COLONIA,LAS ANIMAS,55760,5,33,82,TECAMAC
4229,URBANO(A),FRACCIONAMIENTO,MAGISTERIO TECAMAC,52240,5,33,82,TECAMAC
4229,URBANO(A),COLONIA,NORCHUCA,55769,5,33,82,TECAMAC
4229,URBANO(A),PUEBLO,SAN FRANCISCO CUAUTLIQUIXCA,55760,5,33,82,TECAMAC
4231,URBANO(A),FRACCIONAMIENTO,GOLONDRINAS AMPLIACIN SAN PEDRO ATZOMPA,55767,5,33,82,TECAMAC
4231,URBANO(A),UNIDAD HABITACIONAL,PORTAL OJO DE AGUA,55760,5,33,82,TECAMAC
4231,URBANO(A),CONJUNTO HABITACIONAL,PROVENZAL DEL BOSQUE,55773,5,33,82,TECAMAC
4231,URBANO(A),PUEBLO,SAN PEDRO ATZOMPA,55770,5,33,82,TECAMAC
4231,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
4246,URBANO(A),COLONIA,LAS ANIMAS,55760,5,33,82,TECAMAC
4246,URBANO(A),PUEBLO,OZUMBILLA,55768,5,33,82,TECAMAC
4246,URBANO(A),PUEBLO,SAN FRANCISCO CUAUTLIQUIXCA,55760,5,33,82,TECAMAC
4247,MIXTO(A),PUEBLO,OZUMBILLA,55768,5,33,82,TECAMAC
6263,URBANO(A),COLONIA,AMPL ESMERALDA,55765,5,33,82,TECAMAC
6263,URBANO(A),COLONIA,AMPL MARGARITO F AYALA,55770,5,33,82,TECAMAC
6263,URBANO(A),COLONIA,MARGARITO F AYALA,55068,5,33,82,TECAMAC
6857,URBANO(A),COLONIA,AMPL OZUMBILLA,55760,5,33,82,TECAMAC
